problem,answer
 ( ( ( (28 ^ 2) ^ 3) - 31) / 4),120472568.25
 ( ( ( (74 * 37) * 45) * 2) / 5),49284.0
 ( ( ( ( (95 * 9) + 23) ^ 3) - 50) / 8),84604512.75
 ( ( ( (28 / 1) - 25) + 25) * 30),840.0
 ( ( (94 / 2) ^ 2) - 43),2166.0
 ( ( (62 / 7) + 32) / 2),20.43
 ( ( ( ( (25 * 8) ^ 2) - 14) / 5) ^ 3),511462588138.05
 ( ( ( (34 * 40) / 2) * 44) ^ 3),26784575488000.0
 ( ( ( ( (95 + 29) ^ 2) * 39) / 9) - 4),66625.33
 ( ( (49 + 36) * 41) ^ 3),42326109125
 ( ( ( ( (54 - 13) - 35) * 34) ^ 3) - 17),8489647
 ( ( (38 * 24) / 3) - 34),270.0
 ( ( ( ( (9 + 49) + 16) - 2) ^ 2) - 9),5175
 ( ( (34 + 9) / 9) + 48),52.78
 ( ( ( (16 / 5) / 5) ^ 3) / 2),0.13
 ( ( (83 + 40) ^ 3) / 10),186086.7
 ( ( ( ( (30 * 41) ^ 2) / 2) ^ 2) - 18),572216602482.0
 ( ( ( ( (10 - 50) / 8) ^ 3) ^ 3) * 10),-19531250.0
 ( ( (10 + 11) * 39) ^ 3),549353259
 ( ( ( ( (70 + 48) * 4) + 38) / 9) ^ 2),3211.11
 ( ( ( (29 - 33) / 2) + 8) - 41),-35.0
 ( ( (86 * 30) * 49) + 1),126421
 ( ( ( (75 - 15) / 5) / 5) + 30),32.4
 ( ( (15 + 45) - 35) + 24),49
 ( ( ( ( (1 + 2) * 14) - 36) ^ 3) + 50),266
 ( ( (33 / 2) + 26) / 2),21.25
 ( ( (16 / 2) - 42) ^ 2),1156.0
 ( ( (91 / 1) ^ 2) * 28),231868.0
 ( ( ( (38 * 8) / 2) - 49) - 44),59.0
 ( ( ( ( (91 - 33) ^ 3) + 26) + 28) + 30),195196
 ( ( (82 * 11) / 9) / 9),11.14
 ( ( ( (73 - 11) - 6) ^ 3) ^ 2),30840979456
 ( ( ( ( (43 + 29) + 34) / 1) - 27) - 5),74.0
 ( ( ( ( (84 + 4) / 6) + 16) - 13) ^ 3),5513.96
 ( ( ( ( (33 - 8) + 9) + 23) - 38) * 2),38
 ( ( ( ( (35 ^ 2) - 31) ^ 3) * 12) ^ 3),8522807498077076797293276659712
 ( ( ( (42 - 45) - 37) / 4) / 1),-10.0
 ( ( ( ( (84 ^ 3) - 29) ^ 3) + 49) - 45),208185187097546879
 ( ( ( ( (16 ^ 2) * 35) / 6) + 33) * 1),1526.33
 ( ( ( ( (95 - 18) - 45) + 25) + 31) - 13),75
 ( ( ( ( (48 - 25) + 24) - 2) * 7) * 10),3150
 ( ( (64 ^ 2) ^ 2) - 19),16777197
 ( ( ( ( (45 / 9) * 23) / 5) * 17) - 8),383.0
 ( ( ( (38 * 8) + 32) / 3) - 25),87.0
 ( ( ( (80 ^ 2) + 35) - 33) * 9),57618
 ( ( ( (31 * 8) + 16) / 10) / 2),13.2
 ( ( (72 - 8) / 3) / 9),2.37
 ( ( ( (3 ^ 2) ^ 2) + 5) + 15),101
 ( ( (61 / 6) ^ 2) / 9),11.48
 ( ( ( ( (63 + 31) * 27) * 21) + 11) * 27),1439343
 ( ( (52 + 37) - 38) ^ 2),2601
 ( ( ( ( (59 - 17) - 16) ^ 3) ^ 3) ^ 3),160059109085386090080713531498405298176
 ( ( ( (96 + 23) + 23) - 47) + 50),145
 ( ( ( ( (15 * 28) + 19) ^ 3) ^ 3) + 15),605592770801153705930374
 ( ( ( ( (25 + 3) - 50) * 6) - 7) / 5),-27.8
 ( ( (55 - 18) / 4) + 29),38.25
 ( ( ( (87 ^ 2) + 29) * 38) * 41),11837684
